trialnum,num1,num2,num3
1,0,0,3
2,1,0,0
3,0,0,3
4,1,0,0
5,0,0,3
6,1,0,0
7,0,0,3
8,0,2,0
9,1,0,0
10,0,0,3
11,1,0,0
12,0,0,3
13,1,0,0
14,0,0,3
15,0,2,0
16,1,0,0
17,0,2,0
18,0,0,3
19,1,0,0
20,0,2,0
21,1,0,0
22,0,2,0
23,0,0,3
24,1,0,0
25,0,0,3
26,0,2,0
27,0,0,3
28,0,2,0
29,0,0,3
30,1,0,0
31,0,0,3
32,1,0,0
33,0,0,3
34,1,0,0
35,0,0,3
36,1,0,0
37,0,0,3
38,1,0,0
39,0,2,0
40,0,0,3
41,0,2,0
42,0,0,3
43,0,2,0
44,1,0,0
45,0,2,0
46,1,0,0
47,0,0,3
48,1,0,0
49,0,0,3
50,1,0,0
