trialnum,num1,num2,num3
1,3,3,2
2,3,2,2
3,3,3,2
4,2,2,1
5,3,3,2
6,1,1,2
7,2,1,1
8,3,1,1
9,2,3,2
10,1,3,1
11,3,3,1
12,2,3,3
13,2,1,2
14,2,1,1
15,2,3,2
16,1,1,2
17,2,1,2
18,3,3,2
19,3,1,3
20,3,1,1
21,3,3,2
22,3,2,2
23,3,1,1
24,3,1,3
25,3,3,2
26,2,1,1
27,2,3,2
28,2,3,3
29,3,1,1
30,1,1,2
31,3,3,2
32,2,1,2
33,1,1,2
34,3,3,1
35,1,1,2
36,2,1,2
37,3,3,1
38,3,1,1
39,2,3,2
40,2,1,2
41,2,1,1
42,2,1,2
43,2,2,1
44,3,1,1
45,1,3,1
46,3,3,2
47,2,3,3
48,2,3,2
49,1,1,2
50,2,1,2
